"street","av_lat","av_long"
"Bourne Street",51.4916334733333,-0.154253776666667
"Bourne Terrace",51.5205696,-0.189076483333333
"Bouverie Place",51.51714139,-0.1714469
"Bravington Road",51.530048732,-0.204983208
"Bridgeman Street",51.53361369,-0.16947609
"Bristol Gardens",51.52275399,-0.18537814
"Broadley Street",51.52245873,-0.169523615
"Broadstone Place",51.51872003,-0.15529003
"Broadway",51.49946607,-0.13308028
"Broadwick Street",51.51353672,-0.13610225
"Brompton Road",51.50110815,-0.1621285
"Brook's Mews",51.5123801,-0.146852355
"Brook Street",51.512800988,-0.147743812
"Brown Hart Gardens",51.51317178,-0.15197244
"Brown Street",51.51666466,-0.16264465
"Bruckner Street",51.53048636,-0.2063129
"Bruton Street",51.510524875,-0.144754465
"Bryanston Place",51.518399385,-0.1628323
"Bryanston Square",51.51823787,-0.16097949
"Bryanston Street",51.51422404,-0.15868541
"Buckingham Gate",51.49925193,-0.1397767
"Buckingham Palace Road",51.49170223,-0.14858388
"Buckingham Place",51.49865838,-0.14060281
"Buckingham Street",51.50838198,-0.12336237
"Bulleid Way",51.4932233133333,-0.145767123333333
"Bulstrode Street",51.5178302,-0.15039131
"Burleigh Street",51.51122961,-0.12033811
"Burwood Place",51.5165219,-0.16649565
"Bury Street",51.50744084,-0.13911173
"Caird Street",51.52816026,-0.20676665
"Cambridge Street",51.490049645,-0.143504685
"Capland Street",51.52505746,-0.17020803
"Carey Street",51.51475071,-0.11441016
"Carlisle Place",51.49440668,-0.13997333
"Carlton Gardens",51.50572458,-0.13390627
"Carlton Hill",51.53609892,-0.181877714285714
"Carlton House Terrace",51.50646125,-0.131870995
"Caroline Place",51.51172834,-0.18883873
"Casey Close",51.52765527,-0.1674898
"Castellain Road",51.526706705,-0.188822305
"Catherine Place",51.49920895,-0.14044607
"Catherine Street",51.51261936,-0.12048668
"Causton Street",51.49041499,-0.131683625
"Cavendish Avenue",51.53239554,-0.17368385
"Caxton Street",51.49861878,-0.13475001
"Chadwick Street",51.49625666,-0.13265067
"Chandos Place",51.51015098,-0.1246565
"Chandos Street",51.5181328,-0.14490277
"Chapel Street",51.5131864333333,-0.162072096666667
"Chapter Street",51.49119647,-0.13388588
"Charlbert Street",51.53408375,-0.16774552
"Charles Ii Street",51.50810469,-0.132957326666667
"Charlwood Street",51.49016086,-0.138666186666667
"Chepstow Road",51.51611831,-0.19538605
"Chester Mews",51.49926608,-0.14906009
"Chester Row",51.49313648,-0.15318175
"Chester Square",51.49476875,-0.15045054
"Chester Street",51.49979805,-0.14931115
"Chesterfield Gardens",51.5070084,-0.14947749
"Chichester Road",51.52161893,-0.18615832
"Chichester Street",51.48733729,-0.136661075
"Chiltern Street",51.52151699,-0.15612423
"Chilworth Street",51.51551965,-0.179513045
"Chippenham Road",51.52533836,-0.197447095
"Church Street",51.5234513625,-0.17035587
"Churton Street",51.49159084,-0.13885929
"Circus Road",51.533705685,-0.172192935
"Cirencester Street",51.52154743,-0.19150865
"Clarendon Gardens",51.52465632,-0.17979276
"Clarendon Street",51.48965606,-0.14422395
"Clarendon Terrace",51.52523371,-0.17845476
"Clarges Street",51.50665735,-0.14480112
"Claverton Street",51.486394535,-0.13789055
"Cleveland Gardens",51.51545397,-0.18342521
"Cleveland Square",51.51449387,-0.18165632
"Cleveland Terrace",51.51730625,-0.18008364
"Clifford Street",51.51097254,-0.14160554
"Clifton Gardens",51.524249965,-0.18241288
"Clifton Hill",51.53740964,-0.1813427625
"Clifton Road",51.52543379,-0.17985438
"Clifton Villas",51.52281464,-0.18475003
"Clipstone Street",51.52089253,-0.14278648
"Cliveden Place",51.49357543,-0.15529375
"Cochrane Street",51.532819915,-0.171104505
"Conduit Street",51.51236412,-0.141758306666667
"Connaught Place",51.51348998,-0.16229765
"Connaught Square",51.514751,-0.1639239
"Connaught Street",51.514400675,-0.166577765
"Coomassie Road",51.52724733,-0.20441134
"Cork Street",51.51027537,-0.14145567
"Cosway Street",51.52224408,-0.16649014
"Courtnell Street",51.51631851,-0.198894125
"Cramer Street",51.51900496,-0.15238805
"Craven Hill",51.51325296,-0.18008362
"Craven Hill Gardens",51.51253639,-0.18238752
"Craven Road",51.51378332,-0.17901475
"Craven Terrace",51.51259171,-0.17859467
"Crawford Place",51.51805019,-0.16621841
"Crawford Street",51.519644,-0.16054904
"Croxley Road",51.52957856,-0.20022303
"Culross Street",51.51057301,-0.15647357
"Culworth Street",51.53289057,-0.16643761
"Curzon Street",51.50683978,-0.147912493333333
"Cuthbert Street",51.52282803,-0.1750599
"Dart Street",51.53057313,-0.206748145
"Davies Street",51.51168904,-0.147929855
"Dean Bradley Street",51.49535971,-0.12692684
"Dean Stanley Street",51.496053645,-0.125962515
"Dean Street",51.513334875,-0.132306155
"Dean Trench Street",51.49589898,-0.12790457
"Deanery Street",51.5071924,-0.15185979
"Delamere Terrace",51.52116704,-0.18440013
"Delaware Road",51.5260423283333,-0.19046859
"Denbigh Place",51.48947901,-0.14026611
"Denbigh Street",51.4900876833333,-0.13918877
"Denholme Road",51.53013703,-0.20149145
"Devonshire Place",51.52227719,-0.150106916666667
"Devonshire Street",51.52175237,-0.147846546
"Devonshire Terrace",51.51399681,-0.18035993
"Dorset Square",51.5227886533333,-0.160845893333333
"Dorset Street",51.51941811,-0.156695653333333
"Douglas Street",51.49179586,-0.13444371
"Dover Street",51.50846281,-0.1422298
"Down Street",51.50499091,-0.14815425
"Droop Street",51.52763303,-0.21111372
"Drury Lane",51.51370532,-0.120046743333333
"Duchess Street",51.519076795,-0.14533457
"Duke Street",51.5152390775,-0.151943375
"Duke Street St James's",51.50693417,-0.13740369
"Dunraven Street",51.51214214,-0.15713618
"Eamont Street",51.53412361,-0.166371095
"Eastbourne Terrace",51.516421895,-0.17820855
"Eastcastle Street",51.51681318,-0.13712875
"Eaton Lane",51.49719504,-0.14522665
"Eaton Square",51.49620864625,-0.15114219
"Eaton Terrace",51.49355343,-0.154577655
"Ebury Square",51.49160311,-0.15003417
"Ebury Street",51.493510214,-0.150046314
"Eccleston Place",51.494158675,-0.14758865
"Eccleston Square",51.491997785,-0.14394296
"Eccleston Street",51.495153836,-0.1489514
"Edbrooke Road",51.524761055,-0.195349635
"Edgware Road",51.51747583,-0.16671877
"Elgin Avenue",51.527328753,-0.192509347
"Elizabeth Street",51.493617118,-0.150630014
"Elm Tree Road",51.52965769,-0.17576351
"Elverton Street",51.49483081,-0.13377856
"Emery Hill Street",51.49546248,-0.13755347
"Enbrook Street",51.52769282,-0.20806377
"Ennismore Gardens",51.5004122633333,-0.16986412
"Essendine Road",51.52746066,-0.195156555
"Essex Street",51.512258165,-0.112501125
"Esterbrooke Street",51.49192796,-0.13257745
"Exeter Street",51.51079345,-0.12131048
"Farm Street",51.5090165,-0.149361
"Fermoy Road",51.52454748,-0.203363925
"Fernhead Road",51.52870598,-0.201876961666667
"Fifth Avenue",51.52947626,-0.21154634
"First Avenue",51.5274658,-0.20560833
"Fitzmaurice Place",51.50849674,-0.14512459
"Foley Street",51.51953741,-0.139876265
"Fordingley Road",51.52913773,-0.20126628
"Formosa Street",51.52452614,-0.18504007
"Foscote Mews",51.52307808,-0.19380436
"Fourth Avenue",51.52873059,-0.21012361
"Frampton Street",51.5242748333333,-0.173548496666667
"Francis Street",51.495955465,-0.137448665
"Frith Street",51.51322093,-0.13131225
"Fynes Street",51.49368127,-0.13306438
"Galton Street",51.52879096,-0.21094658
"Garrick Street",51.511529,-0.12593763
"Garway Road",51.51494475,-0.19182811
"Gayfere Street",51.49673137,-0.12778734
"George Street",51.517453215,-0.155347305
"Gilbert Street",51.51290863,-0.14959216
"Gildea Street",51.51918577,-0.14258566
"Gillingham Street",51.49362373,-0.14226723
"Glasshouse Street",51.51048813,-0.13735532
"Glentworth Street",51.52337265,-0.15928699
"Gloucester Place",51.51745313,-0.15779333
"Gloucester Square",51.51499014,-0.17075946
"Gloucester Street",51.48923287,-0.14137096
"Gloucester Terrace",51.514650572,-0.180417846
"Golden Square",51.511696215,-0.137333595
"Goldney Road",51.524328435,-0.1959272
"Grafton Street",51.51005522,-0.14338026
"Graham Terrace",51.49248514,-0.15294659
"Grantully Road",51.52852447,-0.1915326
"Granville Place",51.51430784,-0.15606683
"Great Castle Street",51.515871995,-0.142379345
"Great Central Street",51.52174172,-0.16221737
"Great Chapel Street",51.51580518,-0.13452884
"Great College Street",51.49787597,-0.12838454
"Great Cumberland Place",51.5152779033333,-0.15974692
"Great Marlborough Street",51.5143986,-0.13903436
"Great Peter Street",51.496946785,-0.12859273
"Great Portland Street",51.519631858,-0.142603044
"Great Pulteney Street",51.51232934,-0.13617912
"Great Titchfield Street",51.51980509,-0.14118779
"Greek Street",51.51410955,-0.13097086
"Green Street",51.512646705,-0.15534272
"Greencoat Row",51.49558785,-0.1367711
"Grendon Street",51.52608201,-0.16828494
"Greville Road",51.53553937,-0.18611792
"Grittleton Road",51.52579113,-0.19630354
"Grosvenor Crescent",51.50109377,-0.153419175
"Grosvenor Gardens",51.496992115,-0.14659264
"Grosvenor Hill",51.51142019,-0.14572983
"Grosvenor Road",51.48494325,-0.13841374
"Grosvenor Square",51.5117913525,-0.1509316125
"Grosvenor Street",51.51170121,-0.14738314
"Grove End Road",51.533001745,-0.176315945
"Guildhouse Street",51.49260329,-0.14167003
"Half Moon Street",51.50637133,-0.14526499
"Halkin Place",51.49877818,-0.15625577
"Halkin Street",51.500697715,-0.15247762
"Hall Place",51.52256083,-0.17532516
"Hall Road",51.5297225633333,-0.178590656666667
"Hallam Street",51.5210387675,-0.14390933
"Hamilton Gardens",51.53056554,-0.17963695
"Hamilton Place",51.50477992,-0.1503773
"Hamilton Terrace",51.5301235433333,-0.180827238888889
"Hanover Square",51.51440268,-0.1438235
"Hanover Street",51.51393887,-0.142630945
"Hanson Street",51.52076411,-0.14080111
"Harcourt Street",51.51976449,-0.16439591
"Harewood Avenue",51.5227017033333,-0.164249196666667
"Harewood Row",51.52192789,-0.164452335
"Harley Street",51.52052090625,-0.1477000025
"Harrow Road",51.52209546,-0.189025156666667
"Harrowby Street",51.51767203,-0.16354258
"Hatherley Grove",51.51591821,-0.1895013
"Hay's Mews",51.508360925,-0.14755874
"Hayes Place",51.52289634,-0.16474851
"Haymarket",51.50886571,-0.13220746
"Henderson Drive",51.52687372,-0.17454608
"Henrietta Place",51.51548056,-0.14815663
"Henrietta Street",51.51117964,-0.123674985
"Hereford Road",51.51404994,-0.193649053333333
"Herrick Street",51.49181697,-0.12929177
"Herries Street",51.53220947,-0.207587005
"Hertford Street",51.50616749,-0.14790077
"Hide Place",51.49242336,-0.13338618
"Hill Road",51.53255071,-0.17859453
"Hill Street",51.5086025675,-0.1488566925
"Hinde Street",51.51703474,-0.15102573
"Holbein Place",51.49053607,-0.15545963
"Homer Street",51.51958738,-0.16518209
"Hormead Road",51.52384312,-0.203295205
"Horseferry Road",51.494883852,-0.129643012
"Howick Place",51.496772455,-0.137565175
"Howley Place",51.52195876,-0.17912046
"Hugh Street",51.49234328,-0.145536035
"Huxley Street",51.52903503,-0.21242703
"Hyde Park Crescent",51.515327045,-0.168963335
"Hyde Park Gardens",51.51310461,-0.16954516
"Hyde Park Square",51.5140183866667,-0.16920341
"Hyde Park Street",51.513733525,-0.167984885
"Ilbert Street",51.52907201,-0.211290495
"Inverness Place",51.51222608,-0.18685889
"Inverness Terrace",51.5119166633333,-0.186283546666667
"Ivor Place",51.52406327,-0.16286361
"James Street",51.51467292,-0.15050935
"Jermyn Street",51.508195475,-0.1375324425
"Jerome Crescent",51.52636247,-0.17046835
"John Adam Street",51.50944978,-0.12232953
"John Islip Street",51.4922486533333,-0.128183393333333
"Kean Street",51.51398456,-0.118971145
"Kemble Street",51.51462964,-0.11894328
"Kendal Street",51.515047005,-0.165780045
"Kennet Road",51.52561474,-0.20280737
"Kenrick Place",51.52006036,-0.15600484
"Kensington Gardens Square",51.51419715,-0.190299555
"Kensington Gore",51.50065689,-0.178577845
"Kilburn Park Road",51.5320596675,-0.19294057
"Kildare Gardens",51.5160443,-0.19320255
"Kildare Terrace",51.51769487,-0.1938379
"Kilravock Street",51.5294738033333,-0.210508556666667
"King Street",51.5082111133333,-0.132985046666667
"Kingsmill Terrace",51.53429053,-0.17285817
"Kingsway",51.51461143,-0.11832239
"Kinnerton Street",51.49972802,-0.15678855
"Lanark Road",51.5277447333333,-0.18198136
"Lancaster Gate",51.5115240475,-0.18051911
"Lancaster Mews",51.51233435,-0.17891235
"Lancefield Street",51.52880196,-0.20560193
"Lancelot Place",51.50034978,-0.16375971
"Langford Place",51.53470502,-0.17782811
"Langham Street",51.519005045,-0.141946885
"Lanhill Road",51.52616281,-0.19508432
"Lauderdale Road",51.52759671,-0.187415345
"Leamington Road Villas",51.51848673,-0.20084706
"Ledbury Road",51.51505132,-0.19931789
"Lees Place",51.51229358,-0.15432221
"Leinster Gardens",51.51253158,-0.18341026
"Leinster Square",51.5138387825,-0.1925508
"Leinster Terrace",51.511511075,-0.183092755
"Lilestone Street",51.52502636,-0.16783787
"Lincoln's Inn Fields",51.5155218666667,-0.116491943333333
"Lisson Grove",51.5254166,-0.17010216
"Lisson Street",51.52084838,-0.16785966
"Litchfield Street",51.5127973,-0.12852164
"Little College Street",51.497224215,-0.126639185
"Little Newport Street",51.5117241,-0.12909489
"Little Titchfield Street",51.51800547,-0.14148474
"Lodge Road",51.5276190675,-0.1716785125
"London Street",51.51584475,-0.17475112
"Longmoore Street",51.492762555,-0.13999926
"Lord Hills Road",51.52180913,-0.18835817
"Lothrop Street",51.53007955,-0.21145819
"Loudoun Road",51.5365202866667,-0.177882436666667
"Lower Belgrave Street",51.4960285133333,-0.146797246666667
"Lower Robert Street",51.50884403,-0.1225337
"Lowndes Place",51.49732608,-0.15409474
"Lupus Street",51.48788402625,-0.140731195
"Luxborough Street",51.52088906,-0.15404738
"Lyall Street",51.4960786325,-0.1547106025
"Lydford Road",51.527286725,-0.199943475
"Mackennal Street",51.53364028,-0.16675897
"Macroom Road",51.5296426,-0.19938875
"Maddox Street",51.51306663,-0.14220063
"Maida Avenue",51.52440301,-0.17708916
"Maiden Lane",51.51083585,-0.12293883
"Mallory Street",51.52465786,-0.16733682
"Maltravers Street",51.51197008,-0.11379832
"Malvern Place",51.53179101,-0.20111448
"Manchester Square",51.51666679,-0.152805625
"Manchester Street",51.51853887,-0.153970236666667
"Mandeville Place",51.51671922,-0.15124068
"Manette Street",51.5147369,-0.13064704
"Marban Road",51.530962115,-0.20463052
"Margaret Street",51.517101775,-0.138898815
"Market Place",51.51599001,-0.1398698
"Marlborough Hill",51.53831195,-0.17757854
"Marlborough Place",51.535118375,-0.178901835
"Marne Street",51.5303387266667,-0.210559163333333
"Marsham Street",51.49529778,-0.12920127
"Marylands Road",51.5238709766667,-0.194276503333333
"Marylebone High Street",51.5202267,-0.151880763333333
"Marylebone Lane",51.51648081,-0.149617945
"Marylebone Street",51.51892041,-0.15088996
"Matthew Parker Street",51.50030759,-0.1301167
"Maunsel Street",51.49406099,-0.13383518
"Mayfair Place",51.50728983,-0.14336121
"Melbourne Place",51.51279644,-0.11610246
"Melcombe Street",51.52289106,-0.15932233
"Milford Lane",51.51221599,-0.11306611
"Millbank",51.491965725,-0.125515925
"Molyneux Street",51.51795679,-0.16442445
"Monck Street",51.4954505,-0.13081425
"Monmouth Road",51.51502109,-0.1928356
"Montagu Place",51.51893318,-0.15928059
"Montagu Row",51.51989573,-0.15712272
"Montagu Square",51.5176552766667,-0.15941436
"Montagu Street",51.51603412,-0.15864565
"Montpelier Place",51.49943059,-0.16732838
"Montpelier Square",51.500249745,-0.166409175
"Montpelier Street",51.49923181,-0.16569384
"Montpelier Walk",51.49894083,-0.16723089
"Montrose Place",51.50019332,-0.15177723
"Moorhouse Road",51.5159686,-0.19788312
"Moreton Street",51.48893794,-0.136818855
"Moreton Terrace",51.48930414,-0.13791694
"Morpeth Terrace",51.49605383,-0.14049683
"Morshead Road",51.52859494,-0.192157015
"Moscow Road",51.512362612,-0.190433484
"Motcomb Street",51.49897305,-0.1573403
"Mount Row",51.51086348,-0.1481524
"Mount Street",51.509591175,-0.15162117
"Mozart Street",51.52872349,-0.20484474
"Needham Road",51.51498425,-0.19714012
"New Bond Street",51.51171127,-0.143831773333333
"New Burlington Street",51.51166793,-0.14082159
"New Cavendish Street",51.5196308945455,-0.145699808181818
"New Quebec Street",51.51502253,-0.15821268
"Newman Street",51.51755944,-0.13569959
"Newton Road",51.51600947,-0.19287175
"Noel Street",51.5148528,-0.13699105
"Norfolk Crescent",51.51624799,-0.16684362
"Norfolk Place",51.51691478,-0.17260908
"Norfolk Square",51.515851645,-0.17354219
"Norris Street",51.50916586,-0.13266637
"North Audley Street",51.51220252,-0.15312092
"North Row",51.51371497,-0.15265823
"North Wharf Road",51.5192005133333,-0.175261473333333
"Northumberland Avenue",51.50695936,-0.12453429
"Northumberland Place",51.50711703,-0.14092825
"Northwick Terrace",51.52536461,-0.17615169
"Nottingham Place",51.52158509,-0.153142366666667
"Nottingham Street",51.521305965,-0.152947425
"Nugent Terrace",51.53206902,-0.18084119
"Nutbourne Street",51.530913725,-0.21133798
"Nutford Place",51.51670645,-0.16382535
"Oak Tree Road",51.52856796,-0.17022723
"Oakington Road",51.52514361,-0.19465735
"Ogle Street",51.51986692,-0.13974847
"Old Bond Street",51.50911466,-0.14103216
"Old Burlington Street",51.5105719,-0.14088791
"Old Compton Street",51.51305796,-0.13161445
"Old Marylebone Road",51.51911711,-0.16629341
"Old Pye Street",51.49754393,-0.13339931
"Old Queen Street",51.50077866,-0.13111261
"Oldbury Place",51.52168287,-0.15238066
"Oliphant Street",51.5307419933333,-0.21339638
"Ordnance Hill",51.53631266,-0.17192143
"Orme Lane",51.51098761,-0.19026344
"Orsett Terrace",51.51727072,-0.18595822
"Oxendon Street",51.5101093,-0.13212114
"Oxford Road",51.535159915,-0.192210015
"Paddington Green",51.520710485,-0.17402777
"Paddington Street",51.52063502,-0.154879005
"Page Street",51.493953585,-0.12820131
"Palace Court",51.51044075,-0.19171512
"Palace Street",51.498247826,-0.140488806
"Pall Mall",51.5058734666667,-0.135928666666667
"Park Crescent",51.5231982133333,-0.14579453
"Park Lane",51.50802163,-0.154163115
"Park Place",51.50640285,-0.13993347
"Park Road",51.52513176,-0.16020497
"Park Street",51.5104169266667,-0.15445944
"Park West Place",51.516257055,-0.165492915
"Passmore Street",51.49041669,-0.15441503
"Paveley Street",51.52756038,-0.16663347
"Peach Road",51.53091299,-0.21378872
"Penfold Street",51.52306838,-0.171739115
"Perkin's Rents",51.49722974,-0.13231765
"Piccadilly",51.50373791,-0.14930141
"Picton Place",51.51528257,-0.15153605
"Pimlico Road",51.49064014,-0.15273329
"Poland Street",51.514593545,-0.137052035
"Ponsonby Place",51.48975387,-0.12960205
"Ponsonby Terrace",51.48922052,-0.12938045
"Porchester Place",51.51491034,-0.16539863
"Porchester Square",51.51743479,-0.18762553
"Porchester Terrace",51.512459845,-0.18441061
"Porchester Terrace North",51.51705436,-0.18624215
"Porter Street",51.52156581,-0.15682996
"Portland Place",51.52096825125,-0.1454016875
"Portman Mews South",51.51457952,-0.15611446
"Portman Square",51.51536744,-0.15664504
"Portnall Road",51.5296370475,-0.20410747
"Portugal Street",51.515155835,-0.11521064
"Praed Street",51.5182005133333,-0.17092451
"Prince Albert Road",51.53580637,-0.16151606
"Prince Consort Road",51.4998541966667,-0.17682909
"Princes Gardens",51.49991588,-0.1728324
"Princes Gate",51.50167551,-0.17309217
"Princes Square",51.51321695,-0.192212308
"Princes Street",51.51445414,-0.14326035
"Queen's Gardens",51.5137549233333,-0.182005143333333
"Queen's Gate",51.498808905,-0.179699565
"Queen's Grove",51.53656628,-0.17580145
"Queen's Terrace",51.536008905,-0.17492032
"Queen Anne's Gate",51.5005702075,-0.1328576125
"Queen Anne Street",51.5180069016667,-0.147433845
"Queen Street",51.50724659,-0.14720144
"Queensborough Terrace",51.511600725,-0.185268865
"Queensway",51.5137448133333,-0.187804576666667
"Radnor Place",51.51477029,-0.16978547
"Randolph Avenue",51.5265958,-0.181892316666667
"Randolph Gardens",51.533249175,-0.190004025
"Randolph Road",51.52403275,-0.18182287
"Ranelagh Grove",51.49068664,-0.1507454
"Raphael Street",51.50094417,-0.16378394
"Rathbone Place",51.51721126,-0.13376674
"Red Place",51.51310454,-0.15519272
"Reeves Mews",51.509754,-0.15385908
"Regency Place",51.49475185,-0.13210253
"Rex Place",51.50861264,-0.15281685
"Riding House Street",51.51860645,-0.14039467
"Robert Adam Street",51.51725068,-0.15371798
"Rochester Row",51.494941886,-0.136198774
"Rodmarton Street",51.5187391,-0.157505705
"Romney Street",51.49534169,-0.12895263
"Rossmore Road",51.52498936,-0.16490565
"Russell Street",51.51315415,-0.120736616666667
"Rutherford Street",51.494054625,-0.13286212
"Rutland Gate",51.5011546433333,-0.168299643333333
"Ryder Street",51.50663417,-0.13906988
"Sackville Street",51.509156585,-0.137968525
"Sale Place",51.5183759,-0.17028764
"Salem Road",51.52257921,-0.17949696
"Salisbury Street",51.52259123,-0.16874497
"Saltram Crescent",51.5299649966667,-0.199712963333333
"Sardinia Street",51.51500344,-0.11836533
"Savile Row",51.511305145,-0.14086007
"Savoy Hill",51.509879,-0.11970709
"Savoy Place",51.5091569,-0.12097831
"Savoy Street",51.5101276,-0.11887375
"Scott Ellis Gardens",51.528337395,-0.17591631
"Second Avenue",51.52751538,-0.207003665
"Semley Place",51.49206328,-0.15009637
"Serle Street",51.5156397,-0.11448632
"Severn Avenue",51.53172904,-0.20736971
"Seymour Place",51.51606252,-0.1616552
"Seymour Street",51.514331526,-0.16098434
"Shannon Place",51.53477945,-0.16620693
"Sheffield Street",51.51453022,-0.11750283
"Shepherd Street",51.5064119,-0.14633293
"Shirland Mews",51.52767182,-0.19938313
"Shirland Road",51.527213965,-0.19687097
"Shouldham Street",51.51839832,-0.16404839
"Shrewsbury Road",51.51829835,-0.19760839
"Shroton Street",51.52263063,-0.16592032
"Siddons Lane",51.5233929,-0.15883821
"Sixth Avenue",51.53068659,-0.21318141
"Smith Square",51.495983445,-0.12707039
"Soho Square",51.515413665,-0.132046725
"South Audley Street",51.508991135,-0.151602395
"South Eaton Place",51.49360979,-0.15293334
"South Street",51.50893487,-0.14950101
"South Wharf Road",51.51769665,-0.1742426675
"Southampton Street",51.51111354,-0.122289115
"Southwick Street",51.51639617,-0.16990529
"Spanish Place",51.51749568,-0.15274387
"Spring Street",51.51468155,-0.175652035
"Springfield Road",51.53813166,-0.181794036666667
"St Ann's Street",51.497545765,-0.130538765
"St Ann's Terrace",51.534514695,-0.17202554
"St Barnabas Street",51.48968771,-0.15082566
"St Edmund's Terrace",51.53591582,-0.16455248
"St George's Drive",51.4903317025,-0.1428686625
"St George's Square",51.48692819,-0.134568755
"St George Street",51.51288458,-0.143317793333333
"St James's Market",51.5092844,-0.13331336
"St James's Place",51.50542387,-0.14023284
"St James's Square",51.5075372675,-0.13511088
"St James's Street",51.50612367,-0.138904343333333
"St John's Terrace",51.52719344,-0.21528868
"St John's Wood High Street",51.5328049785714,-0.169848918571429
"St John's Wood Park",51.537872,-0.17384531
"St John's Wood Road",51.5280228033333,-0.17336097
"St John's Wood Terrace",51.53490881,-0.169572765
"St Martin's Lane",51.51084013,-0.12708775
"St Mary's Terrace",51.52108301,-0.17738255
"St Petersburgh Place",51.51201476,-0.19097509
"St Stephen's Gardens",51.51832465,-0.19582677
"Stanhope Gate",51.50672511,-0.151299715
"Stanhope Terrace",51.51255603,-0.17340739
"Star Street",51.51814979,-0.16928926
"Stillington Street",51.49407133,-0.13795548
"Stourcliffe Street",51.51605341,-0.16241182
"Strand",51.51237824,-0.11694889
"Stratford Place",51.515249375,-0.14942567
"Stratton Street",51.50755544,-0.14405345
"Suffolk Place",51.50817769,-0.13110592
"Suffolk Street",51.50873294,-0.13095626
"Surrey Street",51.511662615,-0.11530703
"Sussex Place",51.51396753,-0.17210878
"Sussex Square",51.513278115,-0.17355497
"Sussex Street",51.48953783,-0.14298386
"Sutherland Avenue",51.5259175233333,-0.1868614
"Sutherland Place",51.51571784,-0.19696162
"Sutherland Street",51.48849993,-0.14520902
"Swain Street",51.52700479,-0.1672053
"Tachbrook Street",51.4892345,-0.13453799
"Talbot Road",51.5173245825,-0.196900175
"Talbot Square",51.5149251,-0.17481101
"Tavistock Road",51.52009048,-0.20159836
"Tavistock Street",51.5123353866667,-0.120310163333333
"Temple Place",51.51115422,-0.114137563333333
"Third Avenue",51.531009755,-0.209462975
"Tilney Street",51.50719136,-0.15095497
